,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,331,0,1,25,5586.02,20.11,0.14,3.86
2,332,0,1,25,1675.76,20.11,0.48,3.52
3,333,0,1,25,5917.62,20.11,0.14,3.86
4,1263,0,1,25,9612.48,20.11,0.08,3.92
5,331,2,1,25,8426.92,20.01,0.1,3.9
6,332,2,1,25,5372.99,20.01,0.15,3.85
7,333,2,1,25,9111.2,20.01,0.09,3.91
8,1263,2,1,25,7719.63,20.01,0.1,3.9
9,331,12,1,25,10488.17,20.56,0.08,3.92
10,332,12,1,25,7640.65,20.56,0.1,3.9
11,333,12,1,25,11013.88,20.56,0.07,3.93
12,1263,12,1,25,4574.02,20.56,0.18,3.82
13,331,24,1,25,6497.85,19.49,0.12,3.88
14,332,24,1,25,5561.59,19.49,0.14,3.86
15,333,24,1,25,5379.34,19.49,0.15,3.85
16,1263,24,1,25,6613.32,19.49,0.12,3.88
17,331,36,1,25,2655.25,19.88,0.3,3.7
18,332,36,1,25,2078.08,19.88,0.39,3.61
19,333,36,1,25,2854.92,19.88,0.28,3.72
20,1263,36,1,25,3309.74,19.88,0.24,3.76
21,331,0,2,25,6381.03,20.11,0.13,3.87
22,332,0,2,25,2813.22,20.11,0.29,3.71
23,333,0,2,25,6961.06,20.11,0.12,3.88
24,1263,0,2,25,9420,20.11,0.09,3.91
25,331,2,2,25,10366.63,20.01,0.08,3.92
26,332,2,2,25,6118.25,20.01,0.13,3.87
27,333,2,2,25,10221.24,20.01,0.08,3.92
28,1263,2,2,25,7369.44,20.01,0.11,3.89
29,331,12,2,25,10671.4,20.56,0.08,3.92
30,332,12,2,25,7507.29,20.56,0.11,3.89
31,333,12,2,25,9258.05,20.56,0.09,3.91
32,1263,12,2,25,3541.68,20.56,0.23,3.77
33,331,24,2,25,5036.71,19.49,0.16,3.84
34,332,24,2,25,5085.8,19.49,0.16,3.84
35,333,24,2,25,5609.7,19.49,0.14,3.86
36,1263,24,2,25,4589.84,19.49,0.18,3.82
37,331,36,2,25,3324.63,19.88,0.24,3.76
38,332,36,2,25,2444.63,19.88,0.33,3.67
39,333,36,2,25,3024.22,19.88,0.27,3.73
40,1263,36,2,25,4529.37,19.88,0.18,3.82
41,331,0,3,25,6014.16,20.11,0.13,3.87
42,332,0,3,25,2613.19,20.11,0.31,3.69
43,333,0,3,25,7579.98,20.11,0.11,3.89
44,1263,0,3,25,9692.5,20.11,0.08,3.92
45,331,2,3,25,10050.88,20.01,0.08,3.92
46,332,2,3,25,5265.86,20.01,0.15,3.85
47,333,2,3,25,11646.63,20.01,0.07,3.93
48,1263,2,3,25,7682.9,20.01,0.1,3.9
49,331,12,3,25,10832.94,20.56,0.07,3.93
50,332,12,3,25,8526.42,20.56,0.09,3.91
51,333,12,3,25,9876.91,20.56,0.08,3.92
52,1263,12,3,25,6270.19,20.56,0.13,3.87
53,331,24,3,25,4934.1,19.49,0.16,3.84
54,332,24,3,25,5253.16,19.49,0.15,3.85
55,333,24,3,25,5115.87,19.49,0.16,3.84
56,1263,24,3,25,9186.31,19.49,0.09,3.91
57,331,36,3,25,2507.71,19.88,0.32,3.68
58,332,36,3,25,2834.44,19.88,0.28,3.72
59,333,36,3,25,3402.63,19.88,0.24,3.76
60,1263,36,3,25,4924.71,19.88,0.16,3.84
