,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,156+AC0-4,0,1,Z,5173.38,18.03,0.16,3.84
2,167+AC0-7,0,1,Z,10216.68,18.03,0.08,3.92
3,168+AC0-16,0,1,Z,776.27,18.03,1.06,2.94
4,169+AC0-30,0,1,Z,8511.42,18.03,0.09,3.91
5,164+AC0-11,0,1,Z,12169.93,18.03,0.07,3.93
6,156+AC0-4,2,1,Z,7038.9,17.13,0.11,3.89
7,167+AC0-7,2,1,Z,19170.92,17.13,0.04,3.96
8,168+AC0-16,2,1,Z,3686.66,17.13,0.22,3.78
9,169+AC0-30,2,1,Z,3837.91,17.13,0.21,3.79
10,164+AC0-11,2,1,Z,4352.65,17.13,0.18,3.82
11,156+AC0-4,12,1,Z,1416.4,17.44,0.57,3.43
12,167+AC0-7,12,1,Z,4967.16,17.44,0.16,3.84
13,168+AC0-16,12,1,Z,8638.65,17.44,0.09,3.91
14,169+AC0-30,12,1,Z,6761.74,17.44,0.12,3.88
15,164+AC0-11,12,1,Z,1971.26,17.44,0.41,3.59
16,156+AC0-4,24,1,Z,1588.59,17.5,0.51,3.49
17,167+AC0-7,24,1,Z,9612.96,17.5,0.08,3.92
18,168+AC0-16,24,1,Z,109.45,17.5,8.7,+AC0-4.7
19,169+AC0-30,24,1,Z,1256.77,17.5,0.65,3.35
20,164+AC0-11,24,1,Z,1832.41,17.5,0.44,3.56
21,156+AC0-4,36,1,Z,1362.64,19.94,0.6,3.4
22,167+AC0-7,36,1,Z,2549.17,19.94,0.32,3.68
23,168+AC0-16,36,1,Z,21.37,19.94,559.44,+AC0-555.44
24,169+AC0-30,36,1,Z,27.55,19.94,105.12,+AC0-101.12
25,164+AC0-11,36,1,Z,1660.31,19.94,0.49,3.51
