,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,156+AC0-4,0,1,NA,3888.65,20.8,0.21,3.79
2,167+AC0-7,0,1,NA,9686.03,20.8,0.08,3.92
3,168+AC0-16,0,1,NA,616.65,20.8,1.34,2.66
4,169+AC0-30,0,1,NA,6674.11,20.8,0.12,3.88
5,164+AC0-11,0,1,NA,9776.18,20.8,0.08,3.92
6,156+AC0-4,2,1,NA,7760.78,18.46,0.1,3.9
7,167+AC0-7,2,1,NA,19624.62,18.46,0.04,3.96
8,168+AC0-16,2,1,NA,2793.34,18.46,0.29,3.71
9,169+AC0-30,2,1,NA,3155.01,18.46,0.26,3.74
10,164+AC0-11,2,1,NA,6038.34,18.46,0.13,3.87
11,156+AC0-4,12,1,NA,1164.27,17.7,0.7,3.3
12,167+AC0-7,12,1,NA,3940.88,17.7,0.2,3.8
13,168+AC0-16,12,1,NA,9009.87,17.7,0.09,3.91
14,169+AC0-30,12,1,NA,5353.14,17.7,0.15,3.85
15,164+AC0-11,12,1,NA,2266.03,17.7,0.36,3.64
16,156+AC0-4,24,1,NA,1470.89,17.87,0.55,3.45
17,167+AC0-7,24,1,NA,11898.42,17.87,0.07,3.93
18,168+AC0-16,24,1,NA,82.73,17.87,12.33,+AC0-8.33
19,169+AC0-30,24,1,NA,1475.19,17.87,0.55,3.45
20,164+AC0-11,24,1,NA,1847.13,17.87,0.44,3.56
21,156+AC0-4,36,1,NA,1076.05,18.16,0.76,3.24
22,167+AC0-7,36,1,NA,2329.61,18.16,0.35,3.65
23,168+AC0-16,36,1,NA,20.71,18.16,313.73,+AC0-309.73
24,169+AC0-30,36,1,NA,25.88,18.16,103.63,+AC0-99.63
25,164+AC0-11,36,1,NA,1433.68,18.16,0.57,3.43
