,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,156+AC0-4,0,1,W,7052.48,17.9,0.11,3.89
2,167+AC0-7,0,1,W,10621.49,17.9,0.08,3.92
3,168+AC0-16,0,1,W,761.21,17.9,1.08,2.92
4,169+AC0-30,0,1,W,14749.1,17.9,0.05,3.95
5,164+AC0-11,0,1,W,14392.24,17.9,0.06,3.94
6,156+AC0-4,2,1,W,6814.35,16.17,0.12,3.88
7,167+AC0-7,2,1,W,22278.9,16.17,0.04,3.96
8,168+AC0-16,2,1,W,4668.14,16.17,0.17,3.83
9,169+AC0-30,2,1,W,3600.18,16.17,0.22,3.78
10,164+AC0-11,2,1,W,5808.89,16.17,0.14,3.86
11,156+AC0-4,12,1,W,1903.81,16.28,0.42,3.58
12,167+AC0-7,12,1,W,18699.53,16.28,0.04,3.96
13,168+AC0-16,12,1,W,8741.05,16.28,0.09,3.91
14,169+AC0-30,12,1,W,6332.16,16.28,0.13,3.87
15,164+AC0-11,12,1,W,7362.99,16.28,0.11,3.89
16,156+AC0-4,24,1,W,2859.71,16.24,0.28,3.72
17,167+AC0-7,24,1,W,26056.31,16.24,0.03,3.97
18,168+AC0-16,24,1,W,172.82,16.24,5.11,+AC0-1.11
19,169+AC0-30,24,1,W,2117.74,16.24,0.38,3.62
20,164+AC0-11,24,1,W,1595.22,16.24,0.51,3.49
21,156+AC0-4,36,1,W,1027.82,15.57,0.79,3.21
22,167+AC0-7,36,1,W,3287.36,15.57,0.24,3.76
23,168+AC0-16,36,1,W,20.54,15.57,160.97,+AC0-156.97
24,169+AC0-30,36,1,W,28.38,15.57,62.45,+AC0-58.45
25,164+AC0-11,36,1,W,1315.03,15.57,0.62,3.38
