,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,156+AC0-4,0,1,33,6409.85,22.79,0.13,3.87
2,167+AC0-7,0,1,33,8758.97,22.79,0.09,3.91
3,168+AC0-16,0,1,33,80.26,22.79,13.92,+AC0-9.92
4,169+AC0-30,0,1,33,12687.94,22.79,0.06,3.94
5,164+AC0-11,0,1,33,24585.32,22.79,0.03,3.97
6,156+AC0-4,2,1,33,16360.27,21.3,0.05,3.95
7,167+AC0-7,2,1,33,44148.26,21.3,0.02,3.98
8,168+AC0-16,2,1,33,12826.35,21.3,0.06,3.94
9,169+AC0-30,2,1,33,8835.5,21.3,0.09,3.91
10,164+AC0-11,2,1,33,12963.58,21.3,0.06,3.94
11,156+AC0-4,12,1,33,517.47,20.25,1.61,2.39
12,167+AC0-7,12,1,33,4840.28,20.25,0.17,3.83
13,168+AC0-16,12,1,33,2508.04,20.25,0.32,3.68
14,169+AC0-30,12,1,33,16959.07,20.25,0.05,3.95
15,164+AC0-11,12,1,33,346.99,20.25,2.45,1.55
16,156+AC0-4,24,1,33,3310.22,20.35,0.24,3.76
17,167+AC0-7,24,1,33,22703.01,20.35,0.04,3.96
18,168+AC0-16,24,1,33,30.81,20.35,76.48,+AC0-72.48
19,169+AC0-30,24,1,33,1393.1,20.35,0.58,3.42
20,164+AC0-11,24,1,33,1849.12,20.35,0.44,3.56
21,156+AC0-4,36,1,33,1564.71,20.6,0.52,3.48
22,167+AC0-7,36,1,33,3218.46,20.6,0.25,3.75
23,168+AC0-16,36,1,33,24.09,20.6,229.23,+AC0-225.23
24,169+AC0-30,36,1,33,29.45,20.6,90.4,+AC0-86.4
25,164+AC0-11,36,1,33,2012.55,20.6,0.4,3.6
