,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,331,0,1,28,6257.93,26.21,0.13,3.87
2,332,0,1,28,1283.3,26.21,0.64,3.36
3,333,0,1,28,7468.97,26.21,0.11,3.89
4,1263,0,1,28,9439.74,26.21,0.08,3.92
5,331,2,1,28,10302.18,21.44,0.08,3.92
6,332,2,1,28,4657.47,21.44,0.17,3.83
7,333,2,1,28,11896.83,21.44,0.07,3.93
8,1263,2,1,28,8518.78,21.44,0.09,3.91
9,331,12,1,28,12676.93,20.47,0.06,3.94
10,332,12,1,28,6725.31,20.47,0.12,3.88
11,333,12,1,28,13854.31,20.47,0.06,3.94
12,1263,12,1,28,6611.36,20.47,0.12,3.88
13,331,24,1,28,6469.73,21.17,0.12,3.88
14,332,24,1,28,4898.67,21.17,0.16,3.84
15,333,24,1,28,6020.36,21.17,0.13,3.87
16,1263,24,1,28,12132.99,21.17,0.07,3.93
17,331,36,1,28,2766.31,19.9,0.29,3.71
18,332,36,1,28,2089.63,19.9,0.39,3.61
19,333,36,1,28,3405.12,19.9,0.24,3.76
20,1263,36,1,28,1103.38,19.9,0.74,3.26
21,331,0,2,28,6649.19,26.21,0.12,3.88
22,332,0,2,28,2700.32,26.21,0.3,3.7
23,333,0,2,28,8439.48,26.21,0.1,3.9
24,1263,0,2,28,9288.72,26.21,0.09,3.91
25,331,2,2,28,12041.73,21.44,0.07,3.93
26,332,2,2,28,5554.84,21.44,0.14,3.86
27,333,2,2,28,15837.71,21.44,0.05,3.95
28,1263,2,2,28,6092.46,21.44,0.13,3.87
29,331,12,2,28,12825.38,20.47,0.06,3.94
30,332,12,2,28,7487.57,20.47,0.11,3.89
31,333,12,2,28,12021.18,20.47,0.07,3.93
32,1263,12,2,28,3648.01,20.47,0.22,3.78
33,331,24,2,28,6247.94,21.17,0.13,3.87
34,332,24,2,28,4553.03,21.17,0.18,3.82
35,333,24,2,28,6009.07,21.17,0.13,3.87
36,1263,24,2,28,8337.17,21.17,0.1,3.9
37,331,36,2,28,3353.1,19.9,0.24,3.76
38,332,36,2,28,2191.9,19.9,0.37,3.63
39,333,36,2,28,2980.84,19.9,0.27,3.73
40,1263,36,2,28,2156.5,19.9,0.37,3.63
41,331,0,3,28,6276.65,26.21,0.13,3.87
42,332,0,3,28,2352.33,26.21,0.34,3.66
43,333,0,3,28,7254.82,26.21,0.11,3.89
44,1263,0,3,28,11489.85,26.21,0.07,3.93
45,331,2,3,28,14278.07,21.44,0.06,3.94
46,332,2,3,28,5245.73,21.44,0.15,3.85
47,333,2,3,28,13216.56,21.44,0.06,3.94
48,1263,2,3,28,7268.76,21.44,0.11,3.89
49,331,12,3,28,24516.46,20.47,0.03,3.97
50,332,12,3,28,7708.67,20.47,0.1,3.9
51,333,12,3,28,13808.16,20.47,0.06,3.94
52,1263,12,3,28,5633.5,20.47,0.14,3.86
53,331,24,3,28,5529.76,21.17,0.15,3.85
54,332,24,3,28,4471.26,21.17,0.18,3.82
55,333,24,3,28,5213.22,21.17,0.15,3.85
56,1263,24,3,28,11428.02,21.17,0.07,3.93
57,331,36,3,28,3212.28,19.9,0.25,3.75
58,332,36,3,28,2792.26,19.9,0.29,3.71
59,333,36,3,28,3766.59,19.9,0.21,3.79
60,1263,36,3,28,2500.3,19.9,0.32,3.68
