,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
8576,156+AC0-4,0,1,NA,4274.14,21.85,0.19,3.81
8577,167+AC0-7,0,1,NA,8215.91,21.85,0.1,3.9
8578,168+AC0-16,0,1,NA,760.22,21.85,1.08,2.92
8579,169+AC0-30,0,1,NA,7168.92,21.85,0.11,3.89
8580,164+AC0-11,0,1,NA,11949.76,21.85,0.07,3.93
8581,156+AC0-4,2,1,NA,8429.63,18.29,0.1,3.9
8582,167+AC0-7,2,1,NA,20457.55,18.29,0.04,3.96
8583,168+AC0-16,2,1,NA,2933.65,18.29,0.27,3.73
8584,169+AC0-30,2,1,NA,3106.23,18.29,0.26,3.74
8585,164+AC0-11,2,1,NA,7431.05,18.29,0.11,3.89
8586,156+AC0-4,12,1,NA,872.72,17.19,0.94,3.06
8587,167+AC0-7,12,1,NA,3137.13,17.19,0.26,3.74
8588,168+AC0-16,12,1,NA,7145.38,17.19,0.11,3.89
8589,169+AC0-30,12,1,NA,9499.05,17.19,0.08,3.92
8590,164+AC0-11,12,1,NA,1066.25,17.19,0.76,3.24
8591,156+AC0-4,24,1,NA,1650.01,18.42,0.49,3.51
8592,167+AC0-7,24,1,NA,10921.44,18.42,0.07,3.93
8593,168+AC0-16,24,1,NA,49.41,18.42,25.81,+AC0-21.81
8594,169+AC0-30,24,1,NA,900.3,18.42,0.91,3.09
8595,164+AC0-11,24,1,NA,961.49,18.42,0.85,3.15
8596,156+AC0-4,36,1,NA,1213.27,18.27,0.67,3.33
8597,167+AC0-7,36,1,NA,2387.4,18.27,0.34,3.66
8598,168+AC0-16,36,1,NA,22.09,18.27,209.42,+AC0-205.42
8599,169+AC0-30,36,1,NA,27.99,18.27,82.3,+AC0-78.3
8600,164+AC0-11,36,1,NA,1311.67,18.27,0.62,3.38
