,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,156+AC0-4,0,1,NA,3958.31,22.67,0.2,3.8
2,167+AC0-7,0,1,NA,5445.41,22.67,0.15,3.85
3,168+AC0-16,0,1,NA,254.51,22.67,3.45,0.55
4,169+AC0-30,0,1,NA,5762.45,22.67,0.14,3.86
5,164+AC0-11,0,1,NA,11509.04,22.67,0.07,3.93
6,156+AC0-4,2,1,NA,6139.95,20.44,0.13,3.87
7,167+AC0-7,2,1,NA,18481.77,20.44,0.04,3.96
8,168+AC0-16,2,1,NA,3163.48,20.44,0.25,3.75
9,169+AC0-30,2,1,NA,3026.74,20.44,0.27,3.73
10,164+AC0-11,2,1,NA,9036.12,20.44,0.09,3.91
11,156+AC0-4,12,1,NA,529.69,19.95,1.57,2.43
12,167+AC0-7,12,1,NA,2750.66,19.95,0.29,3.71
13,168+AC0-16,12,1,NA,2307.8,19.95,0.35,3.65
14,169+AC0-30,12,1,NA,6463.82,19.95,0.12,3.88
15,164+AC0-11,12,1,NA,721.87,19.95,1.14,2.86
16,156+AC0-4,24,1,NA,1632.85,19.95,0.5,3.5
17,167+AC0-7,24,1,NA,10227.35,19.95,0.08,3.92
18,168+AC0-16,24,1,NA,34.93,19.95,53.4,+AC0-49.4
19,169+AC0-30,24,1,NA,811.98,19.95,1.01,2.99
20,164+AC0-11,24,1,NA,911.87,19.95,0.9,3.1
21,156+AC0-4,36,1,NA,1048.86,19.04,0.78,3.22
22,167+AC0-7,36,1,NA,1348.49,19.04,0.6,3.4
23,168+AC0-16,36,1,NA,20.88,19.04,434.78,+AC0-430.78
24,169+AC0-30,36,1,NA,25.74,19.04,119.4,+AC0-115.4
25,164+AC0-11,36,1,NA,1127.81,19.04,0.72,3.28
