,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,156+AC0-4,0,1,34,6121.38,25.36,0.13,3.87
2,167+AC0-7,0,1,34,6490.85,25.36,0.12,3.88
3,168+AC0-16,0,1,34,34.82,25.36,84.57,+AC0-80.57
4,169+AC0-30,0,1,34,13163.16,25.36,0.06,3.94
5,164+AC0-11,0,1,34,20876.5,25.36,0.04,3.96
6,156+AC0-4,2,1,34,18217.93,21.87,0.04,3.96
7,167+AC0-7,2,1,34,59925.3,21.87,0.01,3.99
8,168+AC0-16,2,1,34,14263.31,21.87,0.06,3.94
9,169+AC0-30,2,1,34,11604.67,21.87,0.07,3.93
10,164+AC0-11,2,1,34,24299.4,21.87,0.03,3.97
11,156+AC0-4,12,1,34,574.06,22.72,1.45,2.55
12,167+AC0-7,12,1,34,2005.26,22.72,0.4,3.6
13,168+AC0-16,12,1,34,5744.78,22.72,0.14,3.86
14,169+AC0-30,12,1,34,26951.47,22.72,0.03,3.97
15,164+AC0-11,12,1,34,83.32,22.72,13.2,+AC0-9.2
16,156+AC0-4,24,1,34,2924.67,21.53,0.28,3.72
17,167+AC0-7,24,1,34,16828.49,21.53,0.05,3.95
18,168+AC0-16,24,1,34,24.78,21.53,246.15,+AC0-242.15
19,169+AC0-30,24,1,34,1020.62,21.53,0.8,3.2
20,164+AC0-11,24,1,34,1321.35,21.53,0.62,3.38
21,156+AC0-4,36,1,34,1465.43,21.36,0.55,3.45
22,167+AC0-7,36,1,34,2772.42,21.36,0.29,3.71
23,168+AC0-16,36,1,34,21.92,21.36,1428.57,+AC0-1424.57
24,169+AC0-30,36,1,34,26.41,21.36,158.42,+AC0-154.42
25,164+AC0-11,36,1,34,1733.14,21.36,0.47,3.53
