,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,156+AC0-4,0,1,NA,4382.6,20.66,0.18,3.82
2,167+AC0-7,0,1,NA,9971.12,20.66,0.08,3.92
3,168+AC0-16,0,1,NA,498.01,20.66,1.68,2.32
4,169+AC0-30,0,1,NA,7319.91,20.66,0.11,3.89
5,164+AC0-11,0,1,NA,12770.83,20.66,0.06,3.94
6,156+AC0-4,2,1,NA,8107.93,18.31,0.1,3.9
7,167+AC0-7,2,1,NA,20132.14,18.31,0.04,3.96
8,168+AC0-16,2,1,NA,3594.65,18.31,0.22,3.78
9,169+AC0-30,2,1,NA,3167.56,18.31,0.25,3.75
10,164+AC0-11,2,1,NA,7677.14,18.31,0.1,3.9
11,156+AC0-4,12,1,NA,1304.29,17.64,0.62,3.38
12,167+AC0-7,12,1,NA,3219.03,17.64,0.25,3.75
13,168+AC0-16,12,1,NA,7416.67,17.64,0.11,3.89
14,169+AC0-30,12,1,NA,7792.84,17.64,0.1,3.9
15,164+AC0-11,12,1,NA,1291.12,17.64,0.63,3.37
16,156+AC0-4,24,1,NA,1525.87,18.04,0.53,3.47
17,167+AC0-7,24,1,NA,13851.48,18.04,0.06,3.94
18,168+AC0-16,24,1,NA,59.98,18.04,19.07,+AC0-15.07
19,169+AC0-30,24,1,NA,1102.52,18.04,0.74,3.26
20,164+AC0-11,24,1,NA,1192.68,18.04,0.68,3.32
21,156+AC0-4,36,1,NA,1063.4,17.53,0.76,3.24
22,167+AC0-7,36,1,NA,1668.71,17.53,0.48,3.52
23,168+AC0-16,36,1,NA,22.46,17.53,162.27,+AC0-158.27
24,169+AC0-30,36,1,NA,26.43,17.53,89.89,+AC0-85.89
25,164+AC0-11,36,1,NA,995.54,17.53,0.82,3.18
