,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,156+AC0-4,0,1,NA,3827.03,20.8,0.21,3.79
2,167+AC0-7,0,1,NA,7765.17,20.8,0.1,3.9
3,168+AC0-16,0,1,NA,242.66,20.8,3.61,0.39
4,169+AC0-30,0,1,NA,5179.58,20.8,0.16,3.84
5,164+AC0-11,0,1,NA,10983.03,20.8,0.07,3.93
6,156+AC0-4,2,1,NA,7510.84,18.96,0.11,3.89
7,167+AC0-7,2,1,NA,23481.98,18.96,0.03,3.97
8,168+AC0-16,2,1,NA,4414.32,18.96,0.18,3.82
9,169+AC0-30,2,1,NA,3840.2,18.96,0.21,3.79
10,164+AC0-11,2,1,NA,6254.65,18.96,0.13,3.87
11,156+AC0-4,12,1,NA,745.71,18.97,1.1,2.9
12,167+AC0-7,12,1,NA,2877.51,18.97,0.28,3.72
13,168+AC0-16,12,1,NA,5533.73,18.97,0.15,3.85
14,169+AC0-30,12,1,NA,8436.44,18.97,0.1,3.9
15,164+AC0-11,12,1,NA,897.53,18.97,0.91,3.09
16,156+AC0-4,24,1,NA,1558.47,18.64,0.52,3.48
17,167+AC0-7,24,1,NA,8124.04,18.64,0.1,3.9
18,168+AC0-16,24,1,NA,45.05,18.64,30.29,+AC0-26.29
19,169+AC0-30,24,1,NA,903.68,18.64,0.9,3.1
20,164+AC0-11,24,1,NA,943.05,18.64,0.87,3.13
21,156+AC0-4,36,1,NA,968.17,18.54,0.84,3.16
22,167+AC0-7,36,1,NA,1473.35,18.54,0.55,3.45
23,168+AC0-16,36,1,NA,22.46,18.54,204.08,+AC0-200.08
24,169+AC0-30,36,1,NA,28.13,18.54,83.42,+AC0-79.42
25,164+AC0-11,36,1,NA,772.98,18.54,1.06,2.94
