,Strain,Treatment,Rep,seqRep,RF,Rfctrl,VolCul,VolMed
1,156+AC0-4,0,1,32,3651.43,21.42,0.22,3.78
2,167+AC0-7,0,1,32,5586.23,21.42,0.14,3.86
3,168+AC0-16,0,1,32,150.15,21.42,6.21,+AC0-2.21
4,169+AC0-30,0,1,32,5410.5,21.42,0.15,3.85
5,164+AC0-11,0,1,32,9059.73,21.42,0.09,3.91
6,156+AC0-4,2,1,32,6308.12,20.57,0.13,3.87
7,167+AC0-7,2,1,32,20315.62,20.57,0.04,3.96
8,168+AC0-16,2,1,32,4384.98,20.57,0.18,3.82
9,169+AC0-30,2,1,32,3061.43,20.57,0.26,3.74
10,164+AC0-11,2,1,32,7193.81,20.57,0.11,3.89
11,156+AC0-4,12,1,32,448.95,20.07,1.87,2.13
12,167+AC0-7,12,1,32,2658.25,20.07,0.3,3.7
13,168+AC0-16,12,1,32,1883.15,20.07,0.43,3.57
14,169+AC0-30,12,1,32,6683.3,20.07,0.12,3.88
15,164+AC0-11,12,1,32,364.23,20.07,2.32,1.68
16,156+AC0-4,24,1,32,1469.49,19.38,0.55,3.45
17,167+AC0-7,24,1,32,9525.63,19.38,0.08,3.92
18,168+AC0-16,24,1,32,33.72,19.38,55.79,+AC0-51.79
19,169+AC0-30,24,1,32,827.28,19.38,0.99,3.01
20,164+AC0-11,24,1,32,882.5,19.38,0.93,3.07
21,156+AC0-4,36,1,32,917.4,19.13,0.89,3.11
22,167+AC0-7,36,1,32,1165.12,19.13,0.7,3.3
23,168+AC0-16,36,1,32,23.32,19.13,190.93,+AC0-186.93
24,169+AC0-30,36,1,32,27.32,19.13,97.68,+AC0-93.68
25,164+AC0-11,36,1,32,1175.62,19.13,0.69,3.31
